"시도별","경제활동별",2024 p),2024 p),2024 p)
"시도별","경제활동별",명목,실질,실질기여도
"전국","지역내총생산(시장가격)",2560811495,2295341811,2.01
"전국","순생산물세",182753395,168268839,0.09
"전국","총부가가치(기초가격)",2378058100,2127385998,1.92
"전국","농업, 임업 및 어업",37470311,33607297,0.01
"전국","광제조업",683234695,612921903,1.08
"전국","광업",2101447,1582704,-0.01
"전국","제조업",681133248,611372838,1.09
"전국","음식료품 및 담배제조업",34614025,31928228,0.05
"전국","섬유 의복 및 가죽 제품 제조업",17174339,14788044,0.01
"전국","목재종이인쇄 및 복제업",16248847,13582420,0.01
"전국","석탄 및 석유 화학제품 제조업",120275600,106888887,0.26
"전국","비금속광물 및 금속제품 제조업",102091785,61994192,0.02
"전국","전기 전자 및 정밀기기 제조업",224879845,240990692,0.56
"전국","기계 운송장비 및 기타 제품 제조업",165848807,149758620,0.18
"전국","전기, 가스, 증기 및 공기 조절 공급업",47548822,29098708,0.06
"전국","건설업",123309507,105853268,-0.16
"전국","서비스업",1486494765,1339308405,0.92
"전국","도매 및 소매업",203428604,175531835,-0.12
"전국","운수 및 창고업",101274736,103102814,0.37
"전국","숙박 및 음식점업",64514386,49099958,-0.04
"전국","정보통신업",116250635,106946291,0.02
"전국","금융 및 보험업",139692174,125733810,0.21
"전국","부동산업",168057395,164967312,0.13
"전국","사업서비스업",203942183,172250177,-0.03
"전국","전문, 과학 및 기술 서비스업",120159396,98836703,-0.08
"전국","사업시설 관리, 사업 지원 및 임대 서비스업",83782787,73477043,0.04
"전국","공공 행정, 국방 및 사회보장 행정",164261955,144085155,0.13
"전국","교육 서비스업",110241916,101621699,0.05
"전국","보건업 및 사회복지 서비스업",137571950,128014780,0.20
"전국","문화 및 기타서비스업",77258831,67026141,0.00
"전국","수도, 하수 및 폐기물 처리, 원료 재생업",14801369,14087850,0.00
"전국","예술, 스포츠 및 여가관련 서비스",28675145,25509516,0.00
"전국","협회 및 단체, 수리 및 기타 개인 서비스업",33782317,27449742,0.00
"서울특별시","지역내총생산(시장가격)",575035349,514920631,1.03
"서울특별시","순생산물세",44653356,44072017,0.12
"서울특별시","총부가가치(기초가격)",530381993,470860954,0.91
"서울특별시","농업, 임업 및 어업",581692,562248,0.00
"서울특별시","광제조업",21234327,19495403,-0.01
"서울특별시","광업",7033,6135,0.00
"서울특별시","제조업",21227294,19488647,-0.01
"서울특별시","음식료품 및 담배제조업",866004,782990,0.02
"서울특별시","섬유 의복 및 가죽 제품 제조업",7056524,5984100,0.04
"서울특별시","목재종이인쇄 및 복제업",1788094,1549775,-0.02
"서울특별시","석탄 및 석유 화학제품 제조업",1725424,1641141,0.01
"서울특별시","비금속광물 및 금속제품 제조업",999568,581930,-0.01
"서울특별시","전기 전자 및 정밀기기 제조업",6201877,6778225,-0.06
"서울특별시","기계 운송장비 및 기타 제품 제조업",2589803,2161486,0.02
"서울특별시","전기, 가스, 증기 및 공기 조절 공급업",2353755,4573798,0.04
"서울특별시","건설업",16179644,13927662,0.12
"서울특별시","서비스업",490032575,434929575,0.75
"서울특별시","도매 및 소매업",87301043,75329193,-0.34
"서울특별시","운수 및 창고업",18340406,16066905,0.10
"서울특별시","숙박 및 음식점업",16149907,12254218,-0.04
"서울특별시","정보통신업",63891667,57949265,-0.05
"서울특별시","금융 및 보험업",68377996,61572338,0.71
"서울특별시","부동산업",50659146,49509289,0.22
"서울특별시","사업서비스업",92440308,78250988,-0.03
"서울특별시","전문, 과학 및 기술 서비스업",58500286,48680510,-0.15
"서울특별시","사업시설 관리, 사업 지원 및 임대 서비스업",33940022,29583112,0.12
"서울특별시","공공 행정, 국방 및 사회보장 행정",21320387,18815723,0.06
"서울특별시","교육 서비스업",22708005,21107383,0.05
"서울특별시","보건업 및 사회복지 서비스업",30660359,28366335,0.06
"서울특별시","문화 및 기타서비스업",18183351,15512694,0.00
